word,freq,plural,pastTense,isName
bench,1.51627E-05,0,0,0
craft,1.511196E-05,0,0,0
onset,1.510934E-05,0,0,0
climb,1.509876E-05,0,0,0
cared,1.509214E-05,0,1,0
belly,1.508164E-05,0,0,0
hired,1.507344E-05,0,1,0
slide,1.49906E-05,0,0,0
sauce,1.495974E-05,0,0,0
pants,1.492222E-05,1,0,0
brush,1.49058E-05,0,0,0
knock,1.489196E-05,0,0,0
fleet,1.487694E-05,0,0,0
flame,1.487412E-05,0,0,0
elder,1.476198E-05,0,0,0
thumb,1.474562E-05,0,0,0
crops,1.468112E-05,1,0,0
dealt,1.461438E-05,0,0,0
width,1.4596E-05,0,0,0
mouse,1.458662E-05,0,0,0
seeks,1.454332E-05,1,0,0
wives,1.453242E-05,1,0,0
aging,1.45212E-05,0,0,0
scent,1.45058E-05,0,0,0
arrow,1.442376E-05,0,0,0
kelly,1.439666E-05,0,0,1
naval,1.436504E-05,0,0,0
prize,1.43324E-05,0,0,0
spell,1.427038E-05,0,0,0
swung,1.425066E-05,0,0,0
alike,1.421084E-05,0,0,0
tales,1.420806E-05,1,0,0
ruled,1.418952E-05,0,1,0
cruel,1.417536E-05,0,0,0
wheat,1.415516E-05,0,0,0
audit,1.413412E-05,0,0,0
cheap,1.40973E-05,0,0,0
shade,1.405918E-05,0,0,0
daddy,1.403024E-05,0,0,0
tribe,1.401654E-05,0,0,0
eaten,1.400542E-05,0,0,0
forum,1.400108E-05,0,0,0
jeans,1.39886E-05,1,0,0
boats,1.397476E-05,1,0,0
fails,1.395436E-05,1,0,0
flour,1.395396E-05,0,0,0
canal,1.394796E-05,0,0,0
reign,1.390526E-05,0,0,0
chaos,1.38996E-05,0,0,0
genre,1.388126E-05,0,0,0
arose,1.386872E-05,0,0,0
lined,1.383486E-05,0,1,0
wales,1.380946E-05,1,0,0
dated,1.380736E-05,0,1,0
alert,1.379888E-05,0,0,0
weird,1.378458E-05,0,0,0
trump,1.3776704E-05,0,0,0
baker,1.376426E-05,0,0,0
stops,1.375304E-05,1,0,0
tries,1.37384E-05,1,0,0
drops,1.371628E-05,1,0,0
rings,1.367292E-05,1,0,0
mayor,1.365494E-05,0,0,0
wrist,1.361658E-05,0,0,0
alter,1.361182E-05,0,0,0
sizes,1.359042E-05,1,0,0
harsh,1.359028E-05,0,0,0
draws,1.358266E-05,1,0,0
strip,1.358E-05,0,0,0
balls,1.357656E-05,1,0,0
pound,1.35416E-05,0,0,0
talks,1.3455E-05,1,0,0
lungs,1.341858E-05,1,0,0
diary,1.341068E-05,0,0,0
peers,1.33965E-05,1,0,0
relax,1.336942E-05,0,0,0
atoms,1.333162E-05,1,0,0
react,1.326086E-05,0,0,0
bills,1.325334E-05,1,0,0
bears,1.324306E-05,1,0,0
altar,1.323824E-05,0,0,0
tract,1.322114E-05,0,0,0
meals,1.321864E-05,1,0,0
rigid,1.30983E-05,0,0,0
bands,1.30502E-05,1,0,0
filed,1.303516E-05,0,1,0
fence,1.300998E-05,0,0,0
heels,1.299346E-05,1,0,0
shops,1.292578E-05,1,0,0
cable,1.29092E-05,0,0,0
faded,1.28624E-05,0,1,0
porch,1.28315E-05,0,0,0
silly,1.280546E-05,0,0,0
alien,1.280364E-05,0,0,0
deals,1.278192E-05,1,0,0
reads,1.27786E-05,1,0,0
sized,1.276922E-05,0,1,0
micro,1.276706E-05,0,0,0
trunk,1.271696E-05,0,0,0
folks,1.266128E-05,1,0,0
quest,1.264954E-05,0,0,0
wiped,1.262422E-05,0,1,0
bunch,1.257288E-05,0,0,0
tense,1.256938E-05,0,0,0
